Colleges,Status,Link,Assigned
University of Rochester,Done,https://collegedunia.com/usa/college/1922-university-of-rochester-rochester,Prabhu
Clarkson University,Done,https://collegedunia.com/usa/college/1867-clarkson-university-potsdam,Prabhu
Rutgers University-New Brunswick,Done,https://collegedunia.com/usa/college/1695-rutgers-university---new-jersey-new-brunswick,Prabhu
Rice University,Done,https://collegedunia.com/usa/college/1428-rice-university-houston,Prabhu
Brigham Young University-Provo,Done,https://collegedunia.com/usa/college/1880-brigham-young-university-provo,Prabhu
Binghamton University,Done,https://collegedunia.com/usa/college/1001-binghamton-university-binghamton,Prabhu
Worcester Polytechnic Institute,Done,https://collegedunia.com/usa/college/2226-worcester-polytechnic-institute-worcester,Prabhu
University of North Carolina at Charlotte,Done,https://collegedunia.com/usa/college/1115-university-of-north-carolina-charlotte-charlotte,Prabhu
University of Akron Main Campus,Done,https://collegedunia.com/usa/college/887-university-of-akron-akron,Prabhu
The University of Texas at San Antonio,Done,https://collegedunia.com/usa/college/1969-university-of-texas-san-antonio,Prabhu
Marquette University,Done,https://collegedunia.com/usa/college/1637-marquette-university-milwaukee,Prabhu
University of Florida,Done,https://collegedunia.com/usa/college/1339-university-of-florida-gainesville,Prabhu
Southern Illinois University-Carbondale,Done,https://collegedunia.com/usa/college/1096-southern-illinois-university-carbondale,Prabhu
Baylor University,Done,https://collegedunia.com/usa/college/2157-baylor-university-waco,Prabhu
Texas Tech University,Done,https://collegedunia.com/usa/college/1573-texas-tech-university-lubbock,Prabhu
The University of Texas at Austin,Done,https://collegedunia.com/usa/college/952-university-of-texas-austin,Prabhu
Case Western Reserve University,Done,https://collegedunia.com/usa/college/1167-case-western-reserve-university-cleveland,Prabhu
New York University,Done,https://collegedunia.com/usa/college/1713-new-york-university-new-york-city,Prabhu
Lamar University,Done,https://collegedunia.com/usa/college/972-lamar-university-beaumont,Prabhu
The University of Texas at Houston,Issue,https://collegedunia.com/usa/college/1429-university-of-houston-houston,Prabhu
Alfred University,,https://collegedunia.com/usa/college/897-alfred-university-alfred,Prabhu
North Carolina A&T State University,Issue,https://collegedunia.com/usa/college/1372-north-carolina-agricultural--technical-state-university-greensboro,Prabhu
SUNY College of Environmental Science and Forestry,,https://collegedunia.com/usa/college/2092-college-of-environmental-science-and-forestry-syracuse,Prabhu
Tufts University,,https://collegedunia.com/usa/college/1611-tufts-university-medford,Prabhu
Embry-Riddle Aeronautical University,,https://collegedunia.com/usa/college/1226-embry-riddle-aeronautical-university-daytona-beach,Prabhu
Virginia Polytechnic Institute,Issue,https://collegedunia.com/usa/college/1006-virginia-tech-blacksburg,Prabhu
Prairie View A&M University,,https://collegedunia.com/usa/college/1871-prairie-view-am-university-prairie-view,Prabhu
Cleveland State University,,https://collegedunia.com/usa/college/1168-cleveland-state-university-cleveland,Prabhu
University of Dayton,,https://collegedunia.com/usa/college/1224-university-of-dayton-dayton,Prabhu
Ohio University,,https://collegedunia.com/usa/college/936-ohio-university-athens,Prabhu
